epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3933.47,1.51312,1.02219,1.26141,0.68341,0.72485,0.74448,0.4328,1.55234,0.94109,1.29279,0.0093664,0.0093664,0.0093664
66,3993.45,1.50295,1.00968,1.26269,0.6942,0.71074,0.74274,0.4334,1.55321,0.93499,1.29181,0.0093565,0.0093565,0.0093565
67,4053.84,1.51566,1.01348,1.26384,0.69815,0.71087,0.74798,0.43868,1.5529,0.93029,1.29079,0.0093466,0.0093466,0.0093466
68,4113.88,1.50543,1.02113,1.26523,0.71007,0.68827,0.74637,0.43734,1.55003,0.935,1.29248,0.0093367,0.0093367,0.0093367
69,4173.93,1.50676,1.00883,1.25852,0.7249,0.68538,0.74871,0.43812,1.55089,0.93369,1.28903,0.0093268,0.0093268,0.0093268
70,4234.05,1.5036,1.01293,1.26256,0.68778,0.70329,0.74611,0.43918,1.55071,0.93002,1.28893,0.0093169,0.0093169,0.0093169
71,4294.35,1.50938,1.01468,1.25904,0.69889,0.69838,0.74413,0.44089,1.5509,0.93081,1.28884,0.009307,0.009307,0.009307
72,4354.24,1.50116,1.01204,1.25784,0.69462,0.69916,0.74419,0.43986,1.54906,0.93158,1.28861,0.0092971,0.0092971,0.0092971
73,4414.01,1.50423,1.00876,1.26152,0.68213,0.71885,0.74566,0.43738,1.54665,0.93051,1.28786,0.0092872,0.0092872,0.0092872
74,4474.47,1.50665,1.0042,1.26172,0.71626,0.69781,0.75054,0.43797,1.54705,0.92634,1.28871,0.0092773,0.0092773,0.0092773
75,4534.28,1.5042,1.00045,1.25307,0.69646,0.7018,0.74254,0.43424,1.54915,0.9257,1.28813,0.0092674,0.0092674,0.0092674
76,4594.3,1.50728,1.00547,1.25895,0.68054,0.70702,0.74244,0.43582,1.54411,0.92413,1.28495,0.0092575,0.0092575,0.0092575
77,4654.71,1.49643,1.00039,1.25416,0.69399,0.69528,0.74457,0.43809,1.54456,0.91726,1.28278,0.0092476,0.0092476,0.0092476
78,4714.7,1.50007,0.9992,1.25598,0.70619,0.69778,0.74654,0.43976,1.54362,0.92086,1.28572,0.0092377,0.0092377,0.0092377
79,4774.56,1.50268,1.00179,1.25624,0.69234,0.69723,0.7418,0.43803,1.54252,0.9224,1.28346,0.0092278,0.0092278,0.0092278
80,4834.72,1.50601,1.00546,1.25649,0.70258,0.69377,0.74242,0.43885,1.54315,0.92354,1.28217,0.0092179,0.0092179,0.0092179
81,4895.23,1.50386,1.00263,1.25246,0.674,0.71565,0.74305,0.43533,1.54643,0.92454,1.28381,0.009208,0.009208,0.009208
82,4956.72,1.49503,0.99944,1.25366,0.68389,0.70779,0.74306,0.43703,1.54677,0.92663,1.28292,0.0091981,0.0091981,0.0091981
83,5018.23,1.50072,0.99956,1.25209,0.6915,0.71432,0.74555,0.43883,1.54346,0.92081,1.28159,0.0091882,0.0091882,0.0091882
84,5079.16,1.48962,0.99319,1.25115,0.70714,0.70162,0.74634,0.43815,1.54411,0.92057,1.28246,0.0091783,0.0091783,0.0091783
85,5138.9,1.4929,0.99587,1.25113,0.71612,0.69461,0.75302,0.44061,1.54489,0.91854,1.28205,0.0091684,0.0091684,0.0091684
86,5198.71,1.50512,0.99755,1.25462,0.70721,0.69754,0.75135,0.43879,1.54643,0.91894,1.28306,0.0091585,0.0091585,0.0091585
87,5258.98,1.48803,0.99096,1.25154,0.71064,0.69742,0.75617,0.44387,1.54582,0.91699,1.28228,0.0091486,0.0091486,0.0091486
88,5319.28,1.4945,0.99643,1.25017,0.70738,0.69862,0.75629,0.44285,1.54534,0.91624,1.28203,0.0091387,0.0091387,0.0091387
89,5379.21,1.49281,0.98973,1.25314,0.69733,0.70759,0.75578,0.44429,1.54317,0.91523,1.28153,0.0091288,0.0091288,0.0091288
90,5439.42,1.49419,0.98933,1.24897,0.68635,0.71526,0.75436,0.44428,1.5434,0.91397,1.28061,0.0091189,0.0091189,0.0091189
91,5499.61,1.49154,0.99558,1.25201,0.69128,0.72086,0.7561,0.445,1.54232,0.91366,1.27967,0.009109,0.009109,0.009109
92,5559.5,1.49272,0.99073,1.2511,0.67733,0.7163,0.74981,0.44369,1.54142,0.91289,1.27884,0.0090991,0.0090991,0.0090991
93,5619.56,1.49086,0.99395,1.25519,0.67517,0.72467,0.74881,0.4414,1.54059,0.9134,1.27954,0.0090892,0.0090892,0.0090892
94,5679.68,1.49591,0.99449,1.24899,0.68509,0.72103,0.74887,0.4421,1.54188,0.91363,1.27933,0.0090793,0.0090793,0.0090793
95,5739.79,1.49159,0.99007,1.24612,0.69055,0.71331,0.74843,0.44353,1.54055,0.91087,1.27791,0.0090694,0.0090694,0.0090694
